num,category,category_name,news
1001,0,정치,"국회는 새로운 법안 심사를 진행하며 정부 정책 방향을 논의했다. 이번 보도에서는 정부, 국회, 선거, 외교 관련 내용이 함께 다뤄졌다."
1002,0,정치,"정부는 예산 편성과 개혁 과제를 중심으로 부처 회의를 열었다. 이번 보도에서는 정책, 대통령, 정부, 법안 관련 내용이 함께 다뤄졌다."
1003,0,정치,"대통령은 외교 일정에서 경제 협력과 안보 현안을 강조했다. 이번 보도에서는 개혁, 정부, 회의, 국회 관련 내용이 함께 다뤄졌다."
1004,0,정치,"선거를 앞두고 각 정당은 공약 발표와 지역 방문을 확대했다. 이번 보도에서는 국회, 정부, 정책, 개혁 관련 내용이 함께 다뤄졌다."
1005,0,정치,"국회는 새로운 법안 심사를 진행하며 정부 정책 방향을 논의했다. 이번 보도에서는 개혁, 국회, 정책, 법안 관련 내용이 함께 다뤄졌다."
1006,0,정치,"정부는 예산 편성과 개혁 과제를 중심으로 부처 회의를 열었다. 이번 보도에서는 개혁, 회의, 정책, 예산 관련 내용이 함께 다뤄졌다."
1007,0,정치,"대통령은 외교 일정에서 경제 협력과 안보 현안을 강조했다. 이번 보도에서는 외교, 선거, 국회, 회의 관련 내용이 함께 다뤄졌다."
1008,0,정치,"선거를 앞두고 각 정당은 공약 발표와 지역 방문을 확대했다. 이번 보도에서는 대통령, 회의, 법안, 외교 관련 내용이 함께 다뤄졌다."
1009,0,정치,"국회는 새로운 법안 심사를 진행하며 정부 정책 방향을 논의했다. 이번 보도에서는 대통령, 정책, 법안, 국회 관련 내용이 함께 다뤄졌다."
1010,0,정치,"정부는 예산 편성과 개혁 과제를 중심으로 부처 회의를 열었다. 이번 보도에서는 정부, 회의, 외교, 대통령 관련 내용이 함께 다뤄졌다."
1011,0,정치,"대통령은 외교 일정에서 경제 협력과 안보 현안을 강조했다. 이번 보도에서는 법안, 선거, 국회, 외교 관련 내용이 함께 다뤄졌다."
1012,0,정치,"선거를 앞두고 각 정당은 공약 발표와 지역 방문을 확대했다. 이번 보도에서는 예산, 개혁, 정부, 정책 관련 내용이 함께 다뤄졌다."
1013,0,정치,"국회는 새로운 법안 심사를 진행하며 정부 정책 방향을 논의했다. 이번 보도에서는 정부, 개혁, 선거, 회의 관련 내용이 함께 다뤄졌다."
1014,0,정치,"정부는 예산 편성과 개혁 과제를 중심으로 부처 회의를 열었다. 이번 보도에서는 외교, 법안, 정책, 개혁 관련 내용이 함께 다뤄졌다."
1015,0,정치,"대통령은 외교 일정에서 경제 협력과 안보 현안을 강조했다. 이번 보도에서는 정부, 국회, 정책, 회의 관련 내용이 함께 다뤄졌다."
1016,0,정치,"선거를 앞두고 각 정당은 공약 발표와 지역 방문을 확대했다. 이번 보도에서는 선거, 정부, 정책, 회의 관련 내용이 함께 다뤄졌다."
1017,0,정치,"국회는 새로운 법안 심사를 진행하며 정부 정책 방향을 논의했다. 이번 보도에서는 정부, 회의, 선거, 정책 관련 내용이 함께 다뤄졌다."
1018,0,정치,"정부는 예산 편성과 개혁 과제를 중심으로 부처 회의를 열었다. 이번 보도에서는 법안, 대통령, 외교, 개혁 관련 내용이 함께 다뤄졌다."
1019,0,정치,"대통령은 외교 일정에서 경제 협력과 안보 현안을 강조했다. 이번 보도에서는 정책, 선거, 정부, 개혁 관련 내용이 함께 다뤄졌다."
1020,0,정치,"선거를 앞두고 각 정당은 공약 발표와 지역 방문을 확대했다. 이번 보도에서는 대통령, 개혁, 정책, 정부 관련 내용이 함께 다뤄졌다."
1021,1,경제,"한국 경제는 수출 회복과 투자 확대에 힘입어 성장 흐름을 보였다. 이번 보도에서는 환율, 기업, 투자, 시장 관련 내용이 함께 다뤄졌다."
1022,1,경제,"금리와 물가 변동이 소비 심리와 시장 전망에 영향을 주고 있다. 이번 보도에서는 소비, 수출, 시장, 기업 관련 내용이 함께 다뤄졌다."
1023,1,경제,"기업들은 환율 변동에 대응하기 위해 원가 관리와 해외 전략을 조정했다. 이번 보도에서는 경제, 수출, 성장, 기업 관련 내용이 함께 다뤄졌다."
1024,1,경제,"정부는 내수 회복을 위해 소비 지원과 투자 촉진 대책을 발표했다. 이번 보도에서는 시장, 기업, 투자, 경제 관련 내용이 함께 다뤄졌다."
1025,1,경제,"한국 경제는 수출 회복과 투자 확대에 힘입어 성장 흐름을 보였다. 이번 보도에서는 수출, 시장, 성장, 소비 관련 내용이 함께 다뤄졌다."
1026,1,경제,"금리와 물가 변동이 소비 심리와 시장 전망에 영향을 주고 있다. 이번 보도에서는 환율, 기업, 성장, 금리 관련 내용이 함께 다뤄졌다."
1027,1,경제,"기업들은 환율 변동에 대응하기 위해 원가 관리와 해외 전략을 조정했다. 이번 보도에서는 투자, 물가, 수출, 시장 관련 내용이 함께 다뤄졌다."
1028,1,경제,"정부는 내수 회복을 위해 소비 지원과 투자 촉진 대책을 발표했다. 이번 보도에서는 소비, 성장, 투자, 시장 관련 내용이 함께 다뤄졌다."
1029,1,경제,"한국 경제는 수출 회복과 투자 확대에 힘입어 성장 흐름을 보였다. 이번 보도에서는 성장, 기업, 소비, 물가 관련 내용이 함께 다뤄졌다."
1030,1,경제,"금리와 물가 변동이 소비 심리와 시장 전망에 영향을 주고 있다. 이번 보도에서는 수출, 물가, 환율, 경제 관련 내용이 함께 다뤄졌다."
1031,1,경제,"기업들은 환율 변동에 대응하기 위해 원가 관리와 해외 전략을 조정했다. 이번 보도에서는 경제, 금리, 물가, 시장 관련 내용이 함께 다뤄졌다."
1032,1,경제,"정부는 내수 회복을 위해 소비 지원과 투자 촉진 대책을 발표했다. 이번 보도에서는 물가, 기업, 금리, 수출 관련 내용이 함께 다뤄졌다."
1033,1,경제,"한국 경제는 수출 회복과 투자 확대에 힘입어 성장 흐름을 보였다. 이번 보도에서는 기업, 환율, 투자, 소비 관련 내용이 함께 다뤄졌다."
1034,1,경제,"금리와 물가 변동이 소비 심리와 시장 전망에 영향을 주고 있다. 이번 보도에서는 경제, 금리, 투자, 기업 관련 내용이 함께 다뤄졌다."
1035,1,경제,"기업들은 환율 변동에 대응하기 위해 원가 관리와 해외 전략을 조정했다. 이번 보도에서는 시장, 금리, 투자, 수출 관련 내용이 함께 다뤄졌다."
1036,1,경제,"정부는 내수 회복을 위해 소비 지원과 투자 촉진 대책을 발표했다. 이번 보도에서는 물가, 환율, 경제, 시장 관련 내용이 함께 다뤄졌다."
1037,1,경제,"한국 경제는 수출 회복과 투자 확대에 힘입어 성장 흐름을 보였다. 이번 보도에서는 투자, 소비, 물가, 성장 관련 내용이 함께 다뤄졌다."
